Title,Year,Director,Director_Gender,Actor,Actor_Gender,Theme_Code,Role_Code,Monster_Code,Victim_Empower_Code,Die_Survive_Code,Race_Code
Midsommar,2019,Ari Aster,M,Florence Pugh,F,5,5,1,2,2,1
The Menu,2022,Mark Mylod,M,Anya Taylor-Joy,F,5,3,2,2,2,1
Black Swan,2010,Darren Aronofsky,M,Natalie Portman,F,4,3,1,1,1,1
The Silence of the Lambs,1991,Jonathan Demme,M,Jodie Foster,F,2,5,2,2,2,1
Hereditary,2018,Ari Aster,M,Toni Collette,F,1,1,1,1,1,1
Pearl,2022,Ti West,M,Mia Goth,F,4,3,1,1,2,1
Us,2019,Jordan Peele,M,Lupita Nyong'o,F,5,1,1,1,2,2
X,2022,Ti West,M,Mia Goth,F,4,3,1,2,2,1
A Quiet Place,2018,John Krasinski,M,Emily Blunt,F,1,1,2,2,2,1
The Witch,2015,Robert Eggers,M,Anya Taylor-Joy,F,3,2,1,2,2,1
Barbarian,2022,Zach Cregger,M,Georgina Campbell,F,2,5,2,2,2,2
Talk to Me,2022,Michael Philippou,M,Sophie Wilde,F,5,2,1,1,1,2
Bodies Bodies Bodies,2022,Halina Reijn,F,Maria Bakalova,F,5,5,2,2,2,1
Last Night in Soho,2021,Edgar Wright,M,Thomasin McKenzie,F,3,2,2,2,2,1
Bones and All,2022,Luca Guadagnino,M,Taylor Russell,F,3,2,1,1,2,2
Jennifer's Body,2009,Karyn Kusama,F,Megan Fox,F,3,2,1,1,1,1
mother!,2017,Darren Aronofsky,M,Jennifer Lawrence,F,1,1,1,1,1,1
The Exorcist,1973,William Friedkin,M,Ellen Burstyn,F,3,2,1,1,2,1
Annihilation,2018,Alex Garland,M,Natalie Portman,F,5,5,2,2,2,1
Smile,2022,Parker Finn,M,Sosie Bacon,F,5,4,1,1,1,1
It Chapter Two,2019,Andy Muschietti,M,Jessica Chastain,F,2,5,2,2,2,1
A Quiet Place Part II,2020,John Krasinski,M,Emily Blunt,F,1,1,2,2,2,1
Ready or Not,2019,Matt Bettinelli-Olpin,M,Samara Weaving,F,5,5,2,2,2,1
Scream,2022,Matt Bettinelli-Olpin,M,Melissa Barrera,F,2,5,1,2,2,2
Carrie,1976,Brian De Palma,M,Sissy Spacek,F,3,2,1,1,1,1
Scream VI,2023,Matt Bettinelli-Olpin,M,Melissa Barrera,F,2,5,2,2,2,2
The Texas Chain Saw Massacre,1974,Tobe Hooper,M,Marilyn Burns,F,2,2,2,1,2,1
Longlegs,2024,Osgood Perkins,M,Maika Monroe,F,1,5,2,2,2,1
M3GAN,2022,Gerard Johnstone,M,Allison Williams,F,1,5,2,2,2,1
It Follows,2014,David Robert Mitchell,M,Maika Monroe,F,3,2,2,1,2,1
Bird Box,2018,Susanne Bier,F,Sandra Bullock,F,1,1,2,2,2,1
Evil Dead Rise,2023,Lee Cronin,M,Lily Sullivan,F,1,5,2,2,2,1
Suspiria,1977,Dario Argento,M,Jessica Harper,F,3,3,2,2,2,1
Suspiria,2018,Luca Guadagnino,M,Dakota Johnson,F,1,3,1,2,2,1
The Cabin in the Woods,2011,Drew Goddard,M,Kristen Connolly,F,5,5,2,1,2,1
The Blair Witch Project,1999,Daniel Myrick,M,Heather Donahue,F,2,5,2,1,1,1
Fresh,2022,Mimi Cave,F,Daisy Edgar-Jones,F,2,5,2,2,2,1
Aliens,1986,James Cameron,M,Sigourney Weaver,F,1,5,1,2,2,1
A Nightmare on Elm Street,1984,Wes Craven,M,Heather Langenkamp,F,2,2,2,2,2,1
The Invisible Man,2020,Leigh Whannell,M,Elisabeth Moss,F,2,5,2,2,2,1
Rosemary's Baby,1968,Roman Polanski,M,Mia Farrow,F,1,1,2,1,2,1
Possession,1981,Andrzej Żuławski,M,Isabelle Adjani,F,1,1,1,1,1,1
Raw,2016,Julia Ducournau,F,Garance Marillier,F,3,2,1,2,2,1
Titane,2021,Julia Ducournau,F,Vincent Lindon,F,1,5,1,1,1,1
The Babadook,2014,Jennifer Kent,F,Essie Davis,F,1,1,1,2,2,1
Old,2021,M. Night Shyamalan,M,Vicky Krieps,F,4,1,2,1,1,1
Climax,2018,Gaspar Noé,M,Sofia Boutella,F,2,3,2,1,2,2
MaXXXine,2024,Ti West,M,Mia Goth,F,3,3,1,2,2,1
A Quiet Place: Day One,2024,Michael Sarnoski,M,Lupita Nyong'o,F,5,5,2,2,1,2
Scream 2,1997,Wes Craven,M,Neve Campbell,F,2,5,2,2,2,1
Malignant,2021,James Wan,M,Annabelle Wallis,F,1,1,1,2,2,1
Under the Skin,2013,Jonathan Glazer,M,Scarlett Johansson,F,3,5,1,1,1,1
