Title,Year,Director,Director_Gender,Actor,Actor_Gender,Theme_Code,Role_Code,Monster_Code,Victim_Empower_Code,Die_Survive_Code,Race_Code,Director_Code,IMG
Midsommar,2019,Ari Aster,M,Florence Pugh,F,5,5,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/9/5/6/4/459564-midsommar-0-70-0-105-crop.jpg?v=ed7b8ded1f
The Menu,2022,Mark Mylod,M,Anya Taylor-Joy,F,5,3,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/2/1/3/2/3/521323-the-menu-0-70-0-105-crop.jpg?v=d00a0d03a8
Black Swan,2010,Darren Aronofsky,M,Natalie Portman,F,4,3,2,1,2,1,1,https://a.ltrbxd.com/resized/sm/upload/yt/ae/iz/kj/bIjkE9Og0nulRycj144sCcQcsZ6-0-70-0-105-crop.jpg?v=a571e4c644
The Silence of the Lambs,1991,Jonathan Demme,M,Jodie Foster,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/1/7/8/2/51782-the-silence-of-the-lambs-0-70-0-105-crop.jpg?v=18d88bdff4
Hereditary,2018,Ari Aster,M,Toni Collette,F,1,1,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/4/2/4/3/4/8/424348-hereditary-0-70-0-105-crop.jpg?v=470e48b681
Pearl,2022,Ti West,M,Mia Goth,F,4,3,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/8/5/3/8/2/2/853822-pearl-0-70-0-105-crop.jpg?v=471dfc4a24
Us,2019,Jordan Peele,M,Lupita Nyong'o,F,5,1,2,1,1,2,1,https://a.ltrbxd.com/resized/film-poster/3/9/0/5/2/0/390520-us-0-70-0-105-crop.jpg?v=968884c876
X,2022,Ti West,M,Mia Goth,F,4,3,2,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/6/8/0/3/5/8/680358-x-0-70-0-105-crop.jpg?v=8ba5e11abf
A Quiet Place,2018,John Krasinski,M,Emily Blunt,F,1,1,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/3/7/9/6/8/7/379687-a-quiet-place-0-70-0-105-crop.jpg?v=895e756ae7
The Witch,2015,Robert Eggers,M,Anya Taylor-Joy,F,3,2,2,2,1,1,1,https://a.ltrbxd.com/resized/sm/upload/y2/i8/9s/h1/tNr2KYytArZNSh0K8PUcHU3JnX4-0-70-0-105-crop.jpg?v=45f739a242
Barbarian,2022,Zach Cregger,M,Georgina Campbell,F,2,5,1,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/8/1/9/6/4/8/819648-barbarian-0-70-0-105-crop.jpg?v=75b067327a
Talk to Me,2022,Michael Philippou,M,Sophie Wilde,F,5,2,2,1,2,2,1,https://a.ltrbxd.com/resized/film-poster/9/0/8/1/4/4/908144-talk-to-me-0-70-0-105-crop.jpg?v=bf6a2b65cc
Bodies Bodies Bodies,2022,Halina Reijn,F,Maria Bakalova,F,5,5,1,2,1,1,2,https://a.ltrbxd.com/resized/film-poster/4/4/9/4/4/2/449442-bodies-bodies-bodies-0-70-0-105-crop.jpg?v=1dfddd92ac
Last Night in Soho,2021,Edgar Wright,M,Thomasin McKenzie,F,3,2,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/5/0/5/0/0/0/505000-last-night-in-soho-0-70-0-105-crop.jpg?v=0b5403ef97
Bones and All,2022,Luca Guadagnino,M,Taylor Russell,F,3,2,2,1,1,2,1,https://a.ltrbxd.com/resized/sm/upload/xi/cb/mo/xg/bones2-0-70-0-105-crop.jpg?v=bdb6694df9
Jennifer's Body,2009,Karyn Kusama,F,Megan Fox,F,3,2,2,1,2,1,2,https://a.ltrbxd.com/resized/film-poster/3/9/3/0/5/39305-jennifer-s-body-0-70-0-105-crop.jpg?v=af7fb6bd86
mother!,2017,Darren Aronofsky,M,Jennifer Lawrence,F,1,1,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/3/1/6/3/1/1/316311-mother--0-70-0-105-crop.jpg?v=399e8950fd
The Exorcist,1973,William Friedkin,M,Ellen Burstyn,F,3,2,2,1,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/7/0/4/8/47048-the-exorcist-0-70-0-105-crop.jpg?v=897c9aa211
Annihilation,2018,Alex Garland,M,Natalie Portman,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/2/2/7/7/8/4/227784-annihilation-0-70-0-105-crop.jpg?v=35308091d6
Smile,2022,Parker Finn,M,Sosie Bacon,F,5,4,2,1,2,1,1,https://a.ltrbxd.com/resized/film-poster/7/9/3/8/8/3/793883-smile-0-70-0-105-crop.jpg?v=54791d7575
It Chapter Two,2019,Andy Muschietti,M,Jessica Chastain,F,2,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/0/5/5/4/5/405545-it-chapter-two-0-70-0-105-crop.jpg?v=727cc83650
A Quiet Place Part II,2020,John Krasinski,M,Emily Blunt,F,1,1,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/5/0/3/3/7/450337-a-quiet-place-part-ii-0-70-0-105-crop.jpg?v=75a12b8eec
Ready or Not,2019,Matt Bettinelli-Olpin,M,Samara Weaving,F,5,5,1,2,1,1,1,https://a.ltrbxd.com/resized/film-poster/4/9/5/9/6/9/495969-ready-or-not-0-70-0-105-crop.jpg?v=13279f6ca8
Scream,2022,Matt Bettinelli-Olpin,M,Melissa Barrera,F,2,5,2,2,1,2,1,https://a.ltrbxd.com/resized/film-poster/5/7/2/1/1/9/572119-scream-0-70-0-105-crop.jpg?v=9dc682121f
