Title,Year,Director,Director_Gender,Actor,Actor_Gender
Barbie,2023,Greta Gerwig,F,Margot Robbie,F
Parasite,2019,Bong Joon-ho,M,Song Kang-ho,M
Everything Everywhere All at Once,2022,Daniel Scheinert,M,Michelle Yeoh,F
Fight Club,1999,David Fincher,M,Edward Norton,M
La La Land,2016,Damien Chazelle,M,Ryan Gosling,M
Interstellar,2014,Christopher Nolan,M,Matthew McConaughey,M
Oppenheimer,2023,Christopher Nolan,M,Cillian Murphy,M
Joker,2019,Todd Phillips,M,Joaquin Phoenix,M
Dune,2021,Denis Villeneuve,M,Timothée Chalamet,M
Pulp Fiction,1994,Quentin Tarantino,M,John Travolta,M
Whiplash,2014,Damien Chazelle,M,Miles Teller,M
Spider-Man: Into the Spider-Verse,2018,Rodney Rothman,M,Shameik Moore,M
Get Out,2017,Jordan Peele,M,Daniel Kaluuya,M
Midsommar,2019,Ari Aster,M,Florence Pugh,F
The Batman,2022,Matt Reeves,M,Robert Pattinson,M
Knives Out,2019,Rian Johnson,M,Daniel Craig,M
The Dark Knight,2008,Christopher Nolan,M,Christian Bale,M
Saltburn,2023,Emerald Fennell,F,Barry Keoghan,M
Inception,2010,Christopher Nolan,M,Leonardo DiCaprio,M
Poor Things,2023,Yorgos Lanthimos,M,Emma Stone,F
The Truman Show,1998,Peter Weir,M,Jim Carrey,M
Spider-Man: Across the Spider-Verse,2023,Joaquim Dos Santos,M,Shameik Moore,M
Lady Bird,2017,Greta Gerwig,F,Saoirse Ronan,F
American Psycho,2000,Mary Harron,F,Christian Bale,M
The Grand Budapest Hotel,2014,Wes Anderson,M,Ralph Fiennes,M
Dune: Part Two,2024,Denis Villeneuve,M,Timothée Chalamet,M
The Wolf of Wall Street,2013,Martin Scorsese,M,Leonardo DiCaprio,M
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,M,Jim Carrey,M
Spirited Away,2001,Hayao Miyazaki,M,Rumi Hiiragi,F
Spider-Man: No Way Home,2021,Jon Watts,M,Tom Holland,M
The Menu,2022,Mark Mylod,M,Anya Taylor-Joy,F
Gone Girl,2014,David Fincher,M,Ben Affleck,M
The Shining,1980,Stanley Kubrick,M,Jack Nicholson,M
Once Upon a Time… in Hollywood,2019,Quentin Tarantino,M,Leonardo DiCaprio,M
Black Swan,2010,Darren Aronofsky,M,Natalie Portman,F
Inglourious Basterds,2009,Quentin Tarantino,M,Brad Pitt,M
Little Women,2019,Greta Gerwig,F,Saoirse Ronan,F
Forrest Gump,1994,Robert Zemeckis,M,Tom Hanks,M
Se7en,1995,David Fincher,M,Morgan Freeman,M
Avengers: Infinity War,2018,Anthony Russo,M,Robert Downey Jr.,M
The Silence of the Lambs,1991,Jonathan Demme,M,Jodie Foster,F
Kill Bill: Vol. 1,2003,Quentin Tarantino,M,Uma Thurman,F
Baby Driver,2017,Edgar Wright,M,Ansel Elgort,M
Glass Onion,2022,Rian Johnson,M,Daniel Craig,M
Avengers: Endgame,2019,Anthony Russo,M,Robert Downey Jr.,M
The Godfather,1972,Francis Ford Coppola,M,Marlon Brando,M
10 Things I Hate About You,1999,Gil Junger,M,Heath Ledger,M
Call Me by Your Name,2017,Luca Guadagnino,M,Armie Hammer,M
Shutter Island,2010,Martin Scorsese,M,Leonardo DiCaprio,M
Django Unchained,2012,Quentin Tarantino,M,Jamie Foxx,M
Hereditary,2018,Ari Aster,M,Toni Collette,F
Ratatouille,2007,Brad Bird,M,Patton Oswalt,M
Her,2013,Spike Jonze,M,Joaquin Phoenix,M
