Title,Year,Director,Director_Gender,Actor,Actor_Gender
Barbie,2023,Greta Gerwig,F,Margot Robbie,F
Parasite,2019,Bong Joon-ho,M,Song Kang-ho,M
Everything Everywhere All at Once,2022,Daniel Scheinert,M,Michelle Yeoh,F
La La Land,2016,Damien Chazelle,M,Ryan Gosling,M
Knives Out,2019,Rian Johnson,M,Daniel Craig,M
Saltburn,2023,Emerald Fennell,F,Barry Keoghan,M
Poor Things,2023,Yorgos Lanthimos,M,Emma Stone,F
The Truman Show,1998,Peter Weir,M,Jim Carrey,M
Lady Bird,2017,Greta Gerwig,F,Saoirse Ronan,F
The Grand Budapest Hotel,2014,Wes Anderson,M,Ralph Fiennes,M
The Wolf of Wall Street,2013,Martin Scorsese,M,Leonardo DiCaprio,M
The Menu,2022,Mark Mylod,M,Anya Taylor-Joy,F
Once Upon a Time… in Hollywood,2019,Quentin Tarantino,M,Leonardo DiCaprio,M
Forrest Gump,1994,Robert Zemeckis,M,Tom Hanks,M
Glass Onion,2022,Rian Johnson,M,Daniel Craig,M
10 Things I Hate About You,1999,Gil Junger,M,Heath Ledger,M
Ratatouille,2007,Brad Bird,M,Patton Oswalt,M
Scott Pilgrim vs. the World,2010,Edgar Wright,M,Michael Cera,M
Fantastic Mr. Fox,2009,Wes Anderson,M,George Clooney,M
Inside Out,2015,Pete Docter,M,Amy Poehler,F
Jojo Rabbit,2019,Taika Waititi,M,Roman Griffin Davis,M
(500) Days of Summer,2009,Marc Webb,M,Joseph Gordon-Levitt,M
Don't Look Up,2021,Adam McKay,M,Leonardo DiCaprio,M
Deadpool,2016,Tim Miller,M,Ryan Reynolds,M
Up,2009,Pete Docter,M,Ed Asner,M
Mean Girls,2004,Mark Waters,M,Lindsay Lohan,F
Back to the Future,1985,Robert Zemeckis,M,Michael J. Fox,M
Soul,2020,Pete Docter,M,Jamie Foxx,M
Little Miss Sunshine,2006,Jonathan Dayton,M,Greg Kinnear,M
Bottoms,2023,Emma Seligman,F,Rachel Sennott,F
Bullet Train,2022,David Leitch,M,Brad Pitt,M
The Devil Wears Prada,2006,David Frankel,M,Meryl Streep,F
The Breakfast Club,1985,John Hughes,M,Emilio Estevez,M
Inside Out 2,2024,Kelsey Mann,M,Amy Poehler,F
Puss in Boots: The Last Wish,2022,Joel Crawford,M,Antonio Banderas,M
Shrek,2001,Andrew Adamson,M,Mike Myers,M
The Banshees of Inisherin,2022,Martin McDonagh,M,Colin Farrell,M
The Holdovers,2023,Alexander Payne,M,Paul Giamatti,M
Toy Story,1995,John Lasseter,M,Tom Hanks,M
Anyone But You,2023,Will Gluck,M,Sydney Sweeney,F
Superbad,2007,Greg Mottola,M,Jonah Hill,M
Wonka,2023,Paul King,M,Timothée Chalamet,M
The Super Mario Bros. Movie,2023,Michael Jelenic,M,Chris Pratt,M
"Monsters, Inc.",2001,Pete Docter,M,John Goodman,M
Home Alone,1990,Chris Columbus,M,Macaulay Culkin,M
Asteroid City,2023,Wes Anderson,M,Jason Schwartzman,M
Amélie,2001,Jean-Pierre Jeunet,M,Audrey Tautou,F
Mamma Mia!,2008,Phyllida Lloyd,F,Meryl Streep,F
Babylon,2022,Damien Chazelle,M,Brad Pitt,M
The French Dispatch,2021,Wes Anderson,M,Benicio del Toro,M
The Lobster,2015,Yorgos Lanthimos,M,Colin Farrell,M
Bodies Bodies Bodies,2022,Halina Reijn,F,Maria Bakalova,F
Clueless,1995,Amy Heckerling,F,Alicia Silverstone,F
Juno,2007,Jason Reitman,M,Elliot Page,F
