Title,Year,Director,Director_Gender,Actor,Actor_Gender
Parasite,2019,Bong Joon-ho,M,Song Kang-ho,M
Fight Club,1999,David Fincher,M,Edward Norton,M
La La Land,2016,Damien Chazelle,M,Ryan Gosling,M
Interstellar,2014,Christopher Nolan,M,Matthew McConaughey,M
Oppenheimer,2023,Christopher Nolan,M,Cillian Murphy,M
Joker,2019,Todd Phillips,M,Joaquin Phoenix,M
Whiplash,2014,Damien Chazelle,M,Miles Teller,M
Midsommar,2019,Ari Aster,M,Florence Pugh,F
The Dark Knight,2008,Christopher Nolan,M,Christian Bale,M
Saltburn,2023,Emerald Fennell,F,Barry Keoghan,M
The Truman Show,1998,Peter Weir,M,Jim Carrey,M
Lady Bird,2017,Greta Gerwig,F,Saoirse Ronan,F
American Psycho,2000,Mary Harron,F,Christian Bale,M
The Grand Budapest Hotel,2014,Wes Anderson,M,Ralph Fiennes,M
The Wolf of Wall Street,2013,Martin Scorsese,M,Leonardo DiCaprio,M
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,M,Jim Carrey,M
Gone Girl,2014,David Fincher,M,Ben Affleck,M
Once Upon a Time… in Hollywood,2019,Quentin Tarantino,M,Leonardo DiCaprio,M
Black Swan,2010,Darren Aronofsky,M,Natalie Portman,F
Inglourious Basterds,2009,Quentin Tarantino,M,Brad Pitt,M
Little Women,2019,Greta Gerwig,F,Saoirse Ronan,F
Forrest Gump,1994,Robert Zemeckis,M,Tom Hanks,M
The Silence of the Lambs,1991,Jonathan Demme,M,Jodie Foster,F
The Godfather,1972,Francis Ford Coppola,M,Marlon Brando,M
10 Things I Hate About You,1999,Gil Junger,M,Heath Ledger,M
Call Me by Your Name,2017,Luca Guadagnino,M,Armie Hammer,M
Shutter Island,2010,Martin Scorsese,M,Leonardo DiCaprio,M
Django Unchained,2012,Quentin Tarantino,M,Jamie Foxx,M
Her,2013,Spike Jonze,M,Joaquin Phoenix,M
The Social Network,2010,David Fincher,M,Jesse Eisenberg,M
