Title,Year,Director,Director_Gender,Actor,Actor_Gender
Spirited Away,2001,Hayao Miyazaki,M,Rumi Hiiragi,F
Ratatouille,2007,Brad Bird,M,Patton Oswalt,M
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,M,Elijah Wood,M
Donnie Darko,2001,Richard Kelly,M,Jake Gyllenhaal,M
Soul,2020,Pete Docter,M,Jamie Foxx,M
Howl's Moving Castle,2004,Hayao Miyazaki,M,Chieko Baisho,F
The Hunger Games,2012,Gary Ross,M,Jennifer Lawrence,F
Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,M,Daniel Radcliffe,M
The Lighthouse,2019,Robert Eggers,M,Robert Pattinson,M
Harry Potter and the Philosopher's Stone,2001,Chris Columbus,M,Daniel Radcliffe,M
Avatar,2009,James Cameron,M,Sam Worthington,M
Doctor Strange in the Multiverse of Madness,2022,Sam Raimi,M,Benedict Cumberbatch,M
Puss in Boots: The Last Wish,2022,Joel Crawford,M,Antonio Banderas,M
Coraline,2009,Henry Selick,M,Dakota Fanning,F
Shrek,2001,Andrew Adamson,M,Mike Myers,M
My Neighbor Totoro,1988,Hayao Miyazaki,M,Noriko Hidaka,F
The Lord of the Rings: The Return of the King,2003,Peter Jackson,M,Elijah Wood,M
Wonka,2023,Paul King,M,Timothée Chalamet,M
The Super Mario Bros. Movie,2023,Michael Jelenic,M,Chris Pratt,M
The Lord of the Rings: The Two Towers,2002,Peter Jackson,M,Elijah Wood,M
Doctor Strange,2016,Scott Derrickson,M,Benedict Cumberbatch,M
Harry Potter and the Goblet of Fire,2005,Mike Newell,M,Daniel Radcliffe,M
Harry Potter and the Chamber of Secrets,2002,Chris Columbus,M,Daniel Radcliffe,M
Princess Mononoke,1997,Hayao Miyazaki,M,Youji Matsuda,F
The Boy and the Heron,2023,Hayao Miyazaki,M,Soma Santoki,M
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,M,Daniel Radcliffe,M
Harry Potter and the Order of the Phoenix,2007,David Yates,M,Daniel Radcliffe,M
The Nightmare Before Christmas,1993,Henry Selick,M,Danny Elfman,M
Thor: Love and Thunder,2022,Taika Waititi,M,Chris Hemsworth,M
Twilight,2008,Catherine Hardwicke,F,Kristen Stewart,F
Shrek 2,2004,Andrew Adamson,M,Mike Myers,M
Encanto,2021,Byron Howard,M,Stephanie Beatriz,F
Harry Potter and the Half-Blood Prince,2009,David Yates,M,Daniel Radcliffe,M
Harry Potter and the Deathly Hallows: Part 1,2010,David Yates,M,Daniel Radcliffe,M
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,M,Johnny Depp,M
Edward Scissorhands,1990,Tim Burton,M,Johnny Depp,M
Shang-Chi and the Legend of the Ten Rings,2021,Destin Daniel Cretton,M,Simu Liu,M
About Time,2013,Richard Curtis,M,Domhnall Gleeson,M
Luca,2021,Enrico Casarosa,M,Jacob Tremblay,M
The Shape of Water,2017,Guillermo del Toro,M,Sally Hawkins,F
Turning Red,2022,Domee Shi,F,Rosalie Chiang,F
The Northman,2022,Robert Eggers,M,Alexander Skarsgård,M
Suicide Squad,2016,David Ayer,M,Will Smith,M
Charlie and the Chocolate Factory,2005,Tim Burton,M,Johnny Depp,M
Frozen,2013,Chris Buck,M,Kristen Bell,F
Thor,2011,Kenneth Branagh,M,Chris Hemsworth,M
How to Train Your Dragon,2010,Chris Sanders,M,Jay Baruchel,M
Corpse Bride,2005,Tim Burton,M,Johnny Depp,M
Pan's Labyrinth,2006,Guillermo del Toro,M,Ivana Baquero,F
All of Us Strangers,2023,Andrew Haigh,M,Andrew Scott,M
E.T. the Extra-Terrestrial,1982,Steven Spielberg,M,Henry Thomas,M
Kiki's Delivery Service,1989,Hayao Miyazaki,M,Minami Takayama,F
Ponyo,2008,Hayao Miyazaki,M,Yuria Kozuki,F
13 Going on 30,2004,Gary Winick,M,Jennifer Garner,F
Beetlejuice,1988,Tim Burton,M,Alec Baldwin,M
Wonder Woman,2017,Patty Jenkins,F,Gal Gadot,F
Toy Story 4,2019,Josh Cooley,M,Tom Hanks,M
The Green Mile,1999,Frank Darabont,M,Tom Hanks,M
The Lego Movie,2014,Phil Lord,M,Chris Pratt,M
Elemental,2023,Peter Sohn,M,Leah Lewis,F
Thor: The Dark World,2013,Alan Taylor,M,Chris Hemsworth,M
Midnight in Paris,2011,Woody Allen,M,Owen Wilson,M
The Princess Bride,1987,Rob Reiner,M,Cary Elwes,M
Guillermo del Toro's Pinocchio,2022,Guillermo del Toro,M,Ewan McGregor,M
Beau Is Afraid,2023,Ari Aster,M,Joaquin Phoenix,M
The Rocky Horror Picture Show,1975,Jim Sharman,M,Tim Curry,M
The Curious Case of Benjamin Button,2008,David Fincher,M,Brad Pitt,M
The Green Knight,2021,David Lowery,M,Dev Patel,M
Fantastic Beasts and Where to Find Them,2016,David Yates,M,Eddie Redmayne,M
Brave,2012,Brenda Chapman,F,Kelly Macdonald,F
Dungeons & Dragons: Honor Among Thieves,2023,John Francis Daley,M,Chris Pine,M
Ghostbusters,1984,Ivan Reitman,M,Bill Murray,M
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,M,Johnny Depp,M
Groundhog Day,1993,Harold Ramis,M,Bill Murray,M
Alice in Wonderland,2010,Tim Burton,M,Mia Wasikowska,F
Aladdin,1992,Ron Clements,M,Scott Weinger,M
Elf,2003,Jon Favreau,M,Will Ferrell,M
It's a Wonderful Life,1946,Frank Capra,M,James Stewart,M
The Hobbit: An Unexpected Journey,2012,Peter Jackson,M,Ian McKellen,M
Batman v Superman: Dawn of Justice,2016,Zack Snyder,M,Ben Affleck,M
Sorry to Bother You,2018,Boots Riley,M,LaKeith Stanfield,M
The Emperor's New Groove,2000,Mark Dindal,M,David Spade,M
Jumanji: Welcome to the Jungle,2017,Jake Kasdan,M,Dwayne Johnson,M
The Little Mermaid,2023,Rob Marshall,M,Halle Bailey,F
Being John Malkovich,1999,Spike Jonze,M,John Cusack,M
Aquaman,2018,James Wan,M,Jason Momoa,M
Shazam!,2019,David F. Sandberg,M,Zachary Levi,M
How the Grinch Stole Christmas,2000,Ron Howard,M,Jim Carrey,M
Monty Python and the Holy Grail,1975,Terry Gilliam,M,Graham Chapman,M
Matilda,1996,Danny DeVito,M,Mara Wilson,F
The Secret Life of Walter Mitty,2013,Ben Stiller,M,Ben Stiller,M
Beauty and the Beast,1991,Gary Trousdale,M,Paige O'Hara,F
Dream Scenario,2023,Kristoffer Borgli,M,Nicolas Cage,M
Night at the Museum,2006,Shawn Levy,M,Ben Stiller,M
The Wonderful Story of Henry Sugar,2023,Wes Anderson,M,Ralph Fiennes,M
The Princess and the Frog,2009,Ron Clements,M,Anika Noni Rose,F
The Twilight Saga: New Moon,2009,Chris Weitz,M,Kristen Stewart,F
Hercules,1997,Ron Clements,M,Tate Donovan,M
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Andrew Adamson,M,Georgie Henley,F
The Wizard of Oz,1939,Victor Fleming,M,Judy Garland,F
Pirates of the Caribbean: At World's End,2007,Gore Verbinski,M,Johnny Depp,M
Ted,2012,Seth MacFarlane,M,Mark Wahlberg,M
Frozen II,2019,Chris Buck,M,Idina Menzel,F
The Hobbit: The Desolation of Smaug,2013,Peter Jackson,M,Ian McKellen,M
Zack Snyder's Justice League,2021,Zack Snyder,M,Ben Affleck,M
Big Fish,2003,Tim Burton,M,Ewan McGregor,M
A Ghost Story,2017,David Lowery,M,Casey Affleck,M
The Little Mermaid,1989,Ron Clements,M,Jodi Benson,F
The Polar Express,2004,Robert Zemeckis,M,Tom Hanks,M
Onward,2020,Dan Scanlon,M,Tom Holland,M
House,1977,Nobuhiko Obayashi,M,Kimiko Ikegami,F
The Mask,1994,Chuck Russell,M,Jim Carrey,M
The Hobbit: The Battle of the Five Armies,2014,Peter Jackson,M,Ian McKellen,M
Jumanji,1995,Joe Johnston,M,Robin Williams,M
Swiss Army Man,2016,Daniel Scheinert,M,Paul Dano,M
Castle in the Sky,1986,Hayao Miyazaki,M,Keiko Yokozawa,F
Wonder Woman 1984,2020,Patty Jenkins,F,Gal Gadot,F
Freaky Friday,2003,Mark Waters,M,Lindsay Lohan,F
Batman,1989,Tim Burton,M,Jack Nicholson,M
The Seventh Seal,1957,Ingmar Bergman,M,Max von Sydow,M
How to Train Your Dragon 2,2014,Dean DeBlois,M,Jay Baruchel,M
Beauty and the Beast,2017,Bill Condon,M,Emma Watson,F
Shrek the Third,2007,Chris Miller,M,Mike Myers,M
The Twilight Saga: Eclipse,2010,David Slade,M,Kristen Stewart,F
The Mummy,1999,Stephen Sommers,M,Brendan Fraser,M
Madame Web,2024,S.J. Clarkson,M,Dakota Johnson,F
Doctor Sleep,2019,Mike Flanagan,M,Ewan McGregor,M
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,M,Gene Wilder,M
The Craft,1996,Andrew Fleming,M,Robin Tunney,F
The Tree of Life,2011,Terrence Malick,M,Brad Pitt,M
Gremlins,1984,Joe Dante,M,Zach Galligan,M
Evil Dead II,1987,Sam Raimi,M,Bruce Campbell,M
X-Men: Apocalypse,2016,Bryan Singer,M,James McAvoy,M
The Twilight Saga: Breaking Dawn – Part 2,2012,Bill Condon,M,Robert Pattinson,M
Raya and the Last Dragon,2021,Don Hall,M,Kelly Marie Tran,F
Nimona,2023,Troy Quane,M,Chloë Grace Moretz,F
Maleficent,2014,Robert Stromberg,M,Angelina Jolie,F
Kong: Skull Island,2017,Jordan Vogt-Roberts,M,Tom Hiddleston,M
Pokémon Detective Pikachu,2019,Rob Letterman,M,Ryan Reynolds,M
The Fifth Element,1997,Luc Besson,M,Bruce Willis,M
Klaus,2019,Sergio Pablos,M,Jason Schwartzman,M
The Twilight Saga: Breaking Dawn – Part 1,2011,Bill Condon,M,Kristen Stewart,F
Fantastic Beasts: The Crimes of Grindelwald,2018,David Yates,M,Eddie Redmayne,M
Interview with the Vampire,1994,Neil Jordan,M,Tom Cruise,M
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,M,Sumi Shimamoto,F
Men,2022,Alex Garland,M,Jessie Buckley,F
Aladdin,2019,Guy Ritchie,M,Will Smith,M
Hocus Pocus,1993,Kenny Ortega,M,Bette Midler,F
Enchanted,2007,Kevin Lima,M,Amy Adams,F
Batman Returns,1992,Tim Burton,M,Michael Keaton,M
Mandy,2018,Panos Cosmatos,M,Nicolas Cage,M
Monster House,2006,Gil Kenan,M,Mitchel Musso,M
Click,2006,Frank Coraci,M,Adam Sandler,M
Yesterday,2019,Danny Boyle,M,Himesh Patel,M
Hellraiser,1987,Clive Barker,M,Clare Higgins,F
The SpongeBob SquarePants Movie,2004,Stephen Hillenburg,M,Tom Kenny,M
Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,M,Johnny Depp,M
Morbius,2022,Daniel Espinosa,M,Jared Leto,M
Enter the Void,2009,Gaspar Noé,M,Paz de la Huerta,F
Snow White and the Seven Dwarfs,1937,David Hand,M,Adriana Caselotti,F
Alice in Wonderland,1951,Hamilton Luske,M,Kathryn Beaumont,F
Who Framed Roger Rabbit,1988,Robert Zemeckis,M,Bob Hoskins,M
The Addams Family,1991,Barry Sonnenfeld,M,Raúl Juliá,M
Sausage Party,2016,Conrad Vernon,M,Seth Rogen,M
Suzume,2022,Makoto Shinkai,M,Nanoka Hara,F
Labyrinth,1986,Jim Henson,M,David Bowie,M
Pirates of the Caribbean: Dead Men Tell No Tales,2017,Joachim Rønning,M,Johnny Depp,M
Hotel Transylvania,2012,Genndy Tartakovsky,M,Adam Sandler,M
Shrek Forever After,2010,Mike Mitchell,M,Mike Myers,M
Fantastic Beasts: The Secrets of Dumbledore,2022,David Yates,M,Eddie Redmayne,M
Jumanji: The Next Level,2019,Jake Kasdan,M,Dwayne Johnson,M
Damsel,2024,Juan Carlos Fresnadillo,M,Millie Bobby Brown,F
The Secret World of Arrietty,2010,Hiromasa Yonebayashi,M,Mirai Shida,F
Space Jam,1996,Joe Pytka,M,Michael Jordan,M
Sleepy Hollow,1999,Tim Burton,M,Johnny Depp,M
Kung Fu Panda 4,2024,Mike Mitchell,M,Jack Black,M
Ghostbusters: Afterlife,2021,Jason Reitman,M,Mckenna Grace,F
Bruce Almighty,2003,Tom Shadyac,M,Jim Carrey,M
Army of Darkness,1992,Sam Raimi,M,Bruce Campbell,M
The Tale of the Princess Kaguya,2013,Isao Takahata,M,Aki Asakura,F
The Lovely Bones,2009,Peter Jackson,M,Saoirse Ronan,F
Lamb,2021,Valdimar Jóhannsson,M,Noomi Rapace,F
Percy Jackson & the Olympians: The Lightning Thief,2010,Chris Columbus,M,Logan Lerman,M
Mary Poppins,1964,Robert Stevenson,M,Julie Andrews,F
Treasure Planet,2002,Ron Clements,M,Joseph Gordon-Levitt,M
Fantastic Four,2005,Tim Story,M,Ioan Gruffudd,M
Constantine,2005,Francis Lawrence,M,Keanu Reeves,M
The Jungle Book,2016,Jon Favreau,M,Neel Sethi,M
Cinderella,1950,Hamilton Luske,M,Ilene Woods,M
Miss Peregrine's Home for Peculiar Children,2016,Tim Burton,M,Eva Green,F
Fantasia,1940,David Hand,M,Deems Taylor,M
Three Thousand Years of Longing,2022,George Miller,M,Tilda Swinton,F
Violent Night,2022,Tommy Wirkola,M,David Harbour,M
Pinocchio,1940,Ben Sharpsteen,M,Dickie Jones,M
Cinderella,2015,Kenneth Branagh,M,Lily James,F
Vanilla Sky,2001,Cameron Crowe,M,Tom Cruise,M
Sleeping Beauty,1959,Eric Larson,M,Mary Costa,F
Anastasia,1997,Gary Goldman,M,Meg Ryan,F
Shazam! Fury of the Gods,2023,David F. Sandberg,M,Zachary Levi,M
Hook,1991,Steven Spielberg,M,Dustin Hoffman,M
The House,2022,Paloma Baeza,F,Mia Goth,F
Werewolf by Night,2022,Michael Giacchino,M,Gael García Bernal,M
17 Again,2009,Burr Steers,M,Zac Efron,M
Puss in Boots,2011,Chris Miller,M,Antonio Banderas,M
Wings of Desire,1987,Wim Wenders,M,Bruno Ganz,M
La Chimera,2023,Alice Rohrwacher,F,Josh O'Connor,M
The Crow,1994,Alex Proyas,M,Brandon Lee,M
Alvin and the Chipmunks,2007,Tim Hill,M,Jason Lee,M
Big,1988,Penny Marshall,M,Tom Hanks,M
Peter Pan,1953,Hamilton Luske,M,Bobby Driscoll,M
Rise of the Guardians,2012,Peter Ramsey,M,Chris Pine,M
Petite Maman,2021,Céline Sciamma,F,Joséphine Sanz,F
Ghostbusters,2016,Paul Feig,M,Kristen Wiig,F
Death Becomes Her,1992,Robert Zemeckis,M,Goldie Hawn,F
Batman Forever,1995,Joel Schumacher,M,Val Kilmer,M
The Muppet Christmas Carol,1992,Brian Henson,M,Michael Caine,M
