Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
Get Out,2017,Jordan Peele,M,Daniel Kaluuya,M,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined."
Midsommar,2019,Ari Aster,M,Florence Pugh,F,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities."
American Psycho,2000,Mary Harron,F,Christian Bale,M,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
The Menu,2022,Mark Mylod,M,Anya Taylor-Joy,F,"A couple travels to a coastal island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
The Shining,1980,Stanley Kubrick,M,Jack Nicholson,M,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within."
Black Swan,2010,Darren Aronofsky,M,Natalie Portman,F,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.
The Silence of the Lambs,1991,Jonathan Demme,M,Jodie Foster,F,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out."
Hereditary,2018,Ari Aster,M,Toni Collette,F,"When Ellen, the matriarch of the Graham family, passes away, her daughter’s family begins to unravel cryptic and increasingly terrifying secrets about their ancestry."
Nope,2022,Jordan Peele,M,Daniel Kaluuya,M,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery."
Pearl,2022,Ti West,M,Mia Goth,F,"Trapped on her family’s isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she’s seen in the movies, Pearl’s ambitions, temptations, and repressions all collide, in the stunning, technicolor-inspired origin story of X’s iconic villain."
Us,2019,Jordan Peele,M,Lupita Nyong'o,F,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited."
X,2022,Ti West,M,Mia Goth,F,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
The Lighthouse,2019,Robert Eggers,M,Robert Pattinson,M,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
It,2017,Andy Muschietti,M,Jaeden Martell,M,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise."
Scream,1996,Wes Craven,M,David Arquette,M,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one."
A Quiet Place,2018,John Krasinski,M,Emily Blunt,F,A family is forced to live in silence while hiding from creatures that hunt by sound.
Alien,1979,Ridley Scott,M,Tom Skerritt,M,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
Psycho,1960,Alfred Hitchcock,M,Anthony Perkins,M,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother."
The Witch,2015,Robert Eggers,M,Anya Taylor-Joy,F,"In 1630s New England, William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness, exiled from their settlement when William defies the local church. When their newborn son vanishes and crops mysteriously fail, the family turns on one another."
Barbarian,2022,Zach Cregger,M,Georgina Campbell,F,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway, but soon discovers that there is much more to be afraid of in the house than the other house guest."
Talk to Me,2022,Michael Philippou,M,Sophie Wilde,F,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces."
Jaws,1975,Steven Spielberg,M,Roy Scheider,M,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast."
Bodies Bodies Bodies,2022,Halina Reijn,F,Maria Bakalova,F,"When a group of 20-somethings gets stuck at a remote mansion during a hurricane, a party game gone very, very wrong ends with a dead body on the ground and fake friends at every turn as they try to find the killer among them."
Split,2016,M. Night Shyamalan,M,James McAvoy,M,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart."
Last Night in Soho,2021,Edgar Wright,M,Thomasin McKenzie,F,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences."
Bones and All,2022,Luca Guadagnino,M,Taylor Russell,F,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness."
