Title,Year,Director,Director_Gender,Actor,Actor_Gender
La La Land,2016,Damien Chazelle,M,Ryan Gosling,M
Poor Things,2023,Yorgos Lanthimos,M,Emma Stone,F
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,M,Jim Carrey,M
Little Women,2019,Greta Gerwig,F,Saoirse Ronan,F
Forrest Gump,1994,Robert Zemeckis,M,Tom Hanks,M
10 Things I Hate About You,1999,Gil Junger,M,Heath Ledger,M
Call Me by Your Name,2017,Luca Guadagnino,M,Armie Hammer,M
Her,2013,Spike Jonze,M,Joaquin Phoenix,M
Scott Pilgrim vs. the World,2010,Edgar Wright,M,Michael Cera,M
Challengers,2024,Luca Guadagnino,M,Zendaya,F
Past Lives,2023,Celine Song,F,Greta Lee,F
(500) Days of Summer,2009,Marc Webb,M,Joseph Gordon-Levitt,M
Titanic,1997,James Cameron,M,Leonardo DiCaprio,M
Anyone But You,2023,Will Gluck,M,Sydney Sweeney,F
Lost in Translation,2003,Sofia Coppola,F,Bill Murray,M
Portrait of a Lady on Fire,2019,Céline Sciamma,F,Noémie Merlant,F
Before Sunrise,1995,Richard Linklater,M,Ethan Hawke,M
Pride & Prejudice,2005,Joe Wright,M,Keira Knightley,F
Amélie,2001,Jean-Pierre Jeunet,M,Audrey Tautou,F
Mamma Mia!,2008,Phyllida Lloyd,F,Meryl Streep,F
The Lobster,2015,Yorgos Lanthimos,M,Colin Farrell,M
Priscilla,2023,Sofia Coppola,F,Cailee Spaeny,F
Brokeback Mountain,2005,Ang Lee,M,Heath Ledger,M
Clueless,1995,Amy Heckerling,F,Alicia Silverstone,F
Juno,2007,Jason Reitman,M,Elliot Page,F
Twilight,2008,Catherine Hardwicke,F,Kristen Stewart,F
Shrek 2,2004,Andrew Adamson,M,Mike Myers,M
The Notebook,2004,Nick Cassavetes,M,Ryan Gosling,M
No Hard Feelings,2023,Gene Stupnitsky,M,Jennifer Lawrence,F
Bones and All,2022,Luca Guadagnino,M,Taylor Russell,F
Moonrise Kingdom,2012,Wes Anderson,M,Jared Gilman,M
Edward Scissorhands,1990,Tim Burton,M,Johnny Depp,M
About Time,2013,Richard Curtis,M,Domhnall Gleeson,M
Your Name.,2016,Makoto Shinkai,M,Ryunosuke Kamiki,M
The Great Gatsby,2013,Baz Luhrmann,M,Leonardo DiCaprio,M
The Shape of Water,2017,Guillermo del Toro,M,Sally Hawkins,F
The Virgin Suicides,1999,Sofia Coppola,F,James Woods,M
The Worst Person in the World,2021,Joachim Trier,M,Renate Reinsve,F
In the Mood for Love,2000,Wong Kar-wai,M,Tony Leung Chiu-wai,M
The Handmaiden,2016,Park Chan-wook,M,Kim Min-hee,F
Legally Blonde,2001,Robert Luketic,M,Reese Witherspoon,F
Licorice Pizza,2021,Paul Thomas Anderson,M,Alana Haim,F
Vertigo,1958,Alfred Hitchcock,M,James Stewart,M
"Crazy, Stupid, Love.",2011,Glenn Ficarra,M,Steve Carell,M
When Harry Met Sally...,1989,Rob Reiner,M,Meg Ryan,F
Corpse Bride,2005,Tim Burton,M,Johnny Depp,M
All of Us Strangers,2023,Andrew Haigh,M,Andrew Scott,M
Before Sunset,2004,Richard Linklater,M,Ethan Hawke,M
13 Going on 30,2004,Gary Winick,M,Jennifer Garner,F
A Star Is Born,2018,Bradley Cooper,M,Lady Gaga,F
Chungking Express,1994,Wong Kar-wai,M,Takeshi Kaneshiro,M
Fallen Angels,1995,Wong Kar-wai,M,Leon Lai,M
Casablanca,1942,Michael Curtiz,M,Humphrey Bogart,M
Palm Springs,2020,Max Barbakow,M,Andy Samberg,M
Silver Linings Playbook,2012,David O. Russell,M,Bradley Cooper,M
Elemental,2023,Peter Sohn,M,Leah Lewis,F
Midnight in Paris,2011,Woody Allen,M,Owen Wilson,M
Notting Hill,1999,Roger Michell,M,Julia Roberts,F
The Princess Bride,1987,Rob Reiner,M,Cary Elwes,M
How to Lose a Guy in 10 Days,2003,Donald Petrie,M,Kate Hudson,F
Love Actually,2003,Richard Curtis,M,Hugh Grant,M
Pitch Perfect,2012,Jason Moore,M,Anna Kendrick,F
Pretty Woman,1990,Garry Marshall,M,Richard Gere,M
The Curious Case of Benjamin Button,2008,David Fincher,M,Brad Pitt,M
Phantom Thread,2017,Paul Thomas Anderson,M,Daniel Day-Lewis,M
Carol,2015,Todd Haynes,M,Cate Blanchett,F
Punch-Drunk Love,2002,Paul Thomas Anderson,M,Adam Sandler,M
Love Lies Bleeding,2024,Rose Glass,F,Kristen Stewart,F
Grease,1978,Randal Kleiser,M,John Travolta,M
The Princess Diaries,2001,Garry Marshall,M,Anne Hathaway,F
Crazy Rich Asians,2018,Jon M. Chu,M,Constance Wu,F
Groundhog Day,1993,Harold Ramis,M,Bill Murray,M
But I'm a Cheerleader,1999,Jamie Babbit,F,Natasha Lyonne,F
The Idea of You,2024,Michael Showalter,M,Anne Hathaway,F
Aladdin,1992,Ron Clements,M,Scott Weinger,M
The Parent Trap,1998,Nancy Meyers,F,Lindsay Lohan,F
Singin' in the Rain,1952,Stanley Donen,M,Gene Kelly,M
Napoleon,2023,Ridley Scott,M,Joaquin Phoenix,M
The Little Mermaid,2023,Rob Marshall,M,Halle Bailey,F
Atonement,2007,Joe Wright,M,James McAvoy,M
Before Midnight,2013,Richard Linklater,M,Ethan Hawke,M
Emma.,2020,Autumn de Wilde,F,Anya Taylor-Joy,F
Beauty and the Beast,1991,Gary Trousdale,M,Paige O'Hara,F
Hit Man,2023,Richard Linklater,M,Glen Powell,M
The Princess and the Frog,2009,Ron Clements,M,Anika Noni Rose,F
The Twilight Saga: New Moon,2009,Chris Weitz,M,Kristen Stewart,F
Hercules,1997,Ron Clements,M,Tate Donovan,M
Dirty Dancing,1987,Emile Ardolino,M,Jennifer Grey,F
West Side Story,2021,Steven Spielberg,M,Ansel Elgort,M
To All the Boys I've Loved Before,2018,Susan Johnson,F,Lana Condor,F
Cinema Paradiso,1988,Giuseppe Tornatore,M,Philippe Noiret,M
Romeo + Juliet,1996,Baz Luhrmann,M,Leonardo DiCaprio,M
Decision to Leave,2022,Park Chan-wook,M,Tang Wei,F
The Graduate,1967,Mike Nichols,M,Anne Bancroft,F
"Red, White & Royal Blue",2023,Matthew López,M,Taylor Zakhar Perez,M
Slumdog Millionaire,2008,Danny Boyle,M,Dev Patel,M
Blue Valentine,2010,Derek Cianfrance,M,Ryan Gosling,M
The Theory of Everything,2014,James Marsh,M,Eddie Redmayne,M
The Proposal,2009,Anne Fletcher,F,Sandra Bullock,F
The Holiday,2006,Nancy Meyers,F,Cameron Diaz,F
Do Revenge,2022,Jennifer Kaytin Robinson,F,Camila Mendes,F
Maestro,2023,Bradley Cooper,M,Carey Mulligan,F
CODA,2021,Siân Heder,F,Emilia Jones,F
Breakfast at Tiffany's,1961,Blake Edwards,M,Audrey Hepburn,F
Mamma Mia! Here We Go Again,2018,Ol Parker,M,Lily James,F
A Beautiful Mind,2001,Ron Howard,M,Russell Crowe,M
The Mask,1994,Chuck Russell,M,Jim Carrey,M
Me Before You,2016,Thea Sharrock,F,Emilia Clarke,F
Moulin Rouge!,2001,Baz Luhrmann,M,Nicole Kidman,F
Swiss Army Man,2016,Daniel Scheinert,M,Paul Dano,M
Castle in the Sky,1986,Hayao Miyazaki,M,Keiko Yokozawa,F
"Love, Simon",2018,Greg Berlanti,M,Nick Robinson,M
Bridget Jones's Diary,2001,Sharon Maguire,F,Renée Zellweger,F
Beauty and the Beast,2017,Bill Condon,M,Emma Watson,F
The Twilight Saga: Eclipse,2010,David Slade,M,Kristen Stewart,F
Barry Lyndon,1975,Stanley Kubrick,M,Ryan O'Neal,M
The Wind Rises,2013,Hayao Miyazaki,M,Hideaki Anno,M
Bridesmaids,2011,Paul Feig,M,Kristen Wiig,F
The Sound of Music,1965,Robert Wise,M,Julie Andrews,F
She's the Man,2006,Andy Fickman,M,Amanda Bynes,F
50 First Dates,2004,Peter Segal,M,Adam Sandler,M
The Fault in Our Stars,2014,Josh Boone,M,Shailene Woodley,F
The 40 Year Old Virgin,2005,Judd Apatow,M,Steve Carell,M
High School Musical,2006,Kenny Ortega,M,Zac Efron,M
The Twilight Saga: Breaking Dawn – Part 2,2012,Bill Condon,M,Robert Pattinson,M
Maleficent,2014,Robert Stromberg,M,Angelina Jolie,F
Waves,2019,Trey Edward Shults,M,Kelvin Harrison Jr.,M
The Twilight Saga: Breaking Dawn – Part 1,2011,Bill Condon,M,Kristen Stewart,F
Aladdin,2019,Guy Ritchie,M,Will Smith,M
Bram Stoker's Dracula,1992,Francis Ford Coppola,M,Gary Oldman,M
The Apartment,1960,Billy Wilder,M,Jack Lemmon,M
"Love, Rosie",2014,Christian Ditter,M,Lily Collins,F
Enchanted,2007,Kevin Lima,M,Amy Adams,F
Y Tu Mamá También,2001,Alfonso Cuarón,M,Diego Luna,M
Yesterday,2019,Danny Boyle,M,Himesh Patel,M
Closer,2004,Mike Nichols,M,Julia Roberts,F
Annie Hall,1977,Woody Allen,M,Woody Allen,M
Submarine,2010,Richard Ayoade,M,Noah Taylor,M
Passengers,2016,Morten Tyldum,M,Jennifer Lawrence,F
Sing Street,2016,John Carney,M,Ferdia Walsh-Peelo,M
The Piano Teacher,2001,Michael Haneke,M,Isabelle Huppert,F
Some Like It Hot,1959,Billy Wilder,M,Tony Curtis,M
Lisa Frankenstein,2024,Zelda Williams,F,Kathryn Newton,F
Buffalo '66,1998,Vincent Gallo,M,Vincent Gallo,M
What's Eating Gilbert Grape,1993,Lasse Hallström,M,Johnny Depp,M
Crimson Peak,2015,Guillermo del Toro,M,Mia Wasikowska,F
Happy Together,1997,Wong Kar-wai,M,Tony Leung Chiu-wai,M
Blue Is the Warmest Color,2013,Abdellatif Kechiche,M,Léa Seydoux,F
Where the Crawdads Sing,2022,Olivia Newman,F,Daisy Edgar-Jones,F
Friends with Benefits,2011,Will Gluck,M,Justin Timberlake,M
The Love Witch,2016,Anna Biller,F,Samantha Robinson,F
One Day,2011,Lone Scherfig,F,Anne Hathaway,F
High School Musical 2,2007,Kenny Ortega,M,Zac Efron,M
Paterson,2016,Jim Jarmusch,M,Adam Driver,M
Pocahontas,1995,Mike Gabriel,M,Irene Bedard,F
Lars and the Real Girl,2007,Craig Gillespie,M,Ryan Gosling,M
American Pie,1999,Paul Weitz,M,Jason Biggs,M
Set It Up,2018,Claire Scanlon,F,Zoey Deutch,F
Roman Holiday,1953,William Wyler,M,Audrey Hepburn,F
Love & Other Drugs,2010,Edward Zwick,M,Jake Gyllenhaal,M
The Room,2003,Tommy Wiseau,M,Tommy Wiseau,M
27 Dresses,2008,Anne Fletcher,F,Katherine Heigl,F
Gattaca,1997,Andrew Niccol,M,Ethan Hawke,M
The Dreamers,2003,Bernardo Bertolucci,M,Michael Pitt,M
True Romance,1993,Tony Scott,M,Christian Slater,M
Three Colours: Red,1994,Krzysztof Kieślowski,M,Irène Jacob,F
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,M,Michelle Yeoh,F
Only Lovers Left Alive,2013,Jim Jarmusch,M,Tilda Swinton,F
You've Got Mail,1998,Nora Ephron,F,Meg Ryan,F
West Side Story,1961,Robert Wise,M,Natalie Wood,F
Gone with the Wind,1939,Victor Fleming,M,Vivien Leigh,F
The Big Sick,2017,Michael Showalter,M,Kumail Nanjiani,M
Cinderella,1950,Hamilton Luske,M,Ilene Woods,F
Three Thousand Years of Longing,2022,George Miller,M,Tilda Swinton,F
Brooklyn,2015,John Crowley,M,Saoirse Ronan,F
Hairspray,2007,Adam Shankman,M,Nikki Blonsky,F
Cha Cha Real Smooth,2022,Cooper Raiff,M,Cooper Raiff,M
Cinderella,2015,Kenneth Branagh,M,Lily James,F
In the Heights,2021,Jon M. Chu,M,Anthony Ramos,M
The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,M,Anne Hathaway,F
Fifty Shades of Grey,2015,Sam Taylor-Johnson,M,Dakota Johnson,F
Just Go with It,2011,Dennis Dugan,M,Adam Sandler,M
The Umbrellas of Cherbourg,1964,Jacques Demy,M,Catherine Deneuve,F
Fallen Leaves,2023,Aki Kaurismäki,M,Alma Pöysti,F
Cruel Intentions,1999,Roger Kumble,M,Ryan Phillippe,M
Vanilla Sky,2001,Cameron Crowe,M,Tom Cruise,M
Sleeping Beauty,1959,Eric Larson,M,Mary Costa,F
The Kissing Booth,2018,Vince Marcello,M,Joey King,F
Malcolm & Marie,2021,Sam Levinson,M,John David Washington,M
Modern Times,1936,Charles Chaplin,M,Charles Chaplin,M
Sixteen Candles,1984,John Hughes,M,Molly Ringwald,F
Happiest Season,2020,Clea DuVall,F,Kristen Stewart,F
Badlands,1973,Terrence Malick,M,Martin Sheen,M
17 Again,2009,Burr Steers,M,Zac Efron,M
High Fidelity,2000,Stephen Frears,M,John Cusack,M
The Red Shoes,1948,Emeric Pressburger,M,Moira Shearer,F
Forgetting Sarah Marshall,2008,Nicholas Stoller,M,Jason Segel,M
A Brighter Summer Day,1991,Edward Yang,M,Chang Chen,M
The Spectacular Now,2013,James Ponsoldt,M,Miles Teller,M
Wings of Desire,1987,Wim Wenders,M,Bruno Ganz,M
Wild at Heart,1990,David Lynch,M,Nicolas Cage,M
The Half of It,2020,Alice Wu,F,Leah Lewis,F
Sleepless in Seattle,1993,Nora Ephron,F,Meg Ryan,F
If Beale Street Could Talk,2018,Barry Jenkins,M,KiKi Layne,F
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,F,Sheila Vand,F
Big,1988,Penny Marshall,F,Tom Hanks,M
Cold War,2018,Paweł Pawlikowski,M,Joanna Kulig,F
Begin Again,2013,John Carney,M,Mark Ruffalo,M
High School Musical 3: Senior Year,2008,Kenny Ortega,M,Zac Efron,M
Meet the Parents,2000,Jay Roach,M,Ben Stiller,M
Days of Heaven,1978,Terrence Malick,M,Richard Gere,M
Yes Man,2008,Peyton Reed,M,Jim Carrey,M
Moonstruck,1987,Norman Jewison,M,Cher,F
A Cinderella Story,2004,Mark Rosman,M,Hilary Duff,F
Lady and the Tramp,1955,Hamilton Luske,M,Barbara Luddy,F
She's All That,1999,Robert Iscove,M,Freddie Prinze Jr.,M
The Age of Adaline,2015,Lee Toland Krieger,M,Blake Lively,F
City Lights,1931,Charles Chaplin,M,Charles Chaplin,M
Rye Lane,2023,Raine Allen-Miller,F,David Jonsson,M
My Best Friend's Wedding,1997,P.J. Hogan,M,Julia Roberts,F
My Life as a Zucchini,2016,Claude Barras,M,Gaspard Schlatter,M
Jerry Maguire,1996,Cameron Crowe,M,Tom Cruise,M
Anomalisa,2015,Charlie Kaufman,M,David Thewlis,M
The Wrestler,2008,Darren Aronofsky,M,Mickey Rourke,M
Five Feet Apart,2019,Justin Baldoni,M,Haley Lu Richardson,F
Practical Magic,1998,Griffin Dunne,M,Sandra Bullock,F
Election,1999,Alexander Payne,M,Matthew Broderick,M
Weathering with You,2019,Makoto Shinkai,M,Kotaro Daigo,M
Pierrot le Fou,1965,Jean-Luc Godard,M,Jean-Paul Belmondo,M
Warm Bodies,2013,Jonathan Levine,M,Nicholas Hoult,M
Flipped,2010,Rob Reiner,M,Madeline Carroll,F
2046,2004,Wong Kar-wai,M,Tony Leung Chiu-wai,M
Meet Joe Black,1998,Martin Brest,M,Brad Pitt,M
Four Weddings and a Funeral,1994,Mike Newell,M,Hugh Grant,M
Wild Child,2008,Nick Moore,M,Emma Roberts,F
Amour,2012,Michael Haneke,M,Jean-Louis Trintignant,M
Mr. Nobody,2009,Jaco Van Dormael,M,Jared Leto,M
Walk the Line,2005,James Mangold,M,Joaquin Phoenix,M
Wedding Crashers,2005,David Dobkin,M,Owen Wilson,M
Stardust,2007,Matthew Vaughn,M,Charlie Cox,M
Bride Wars,2009,Gary Winick,M,Kate Hudson,F
A Knight's Tale,2001,Brian Helgeland,M,Heath Ledger,M
To All the Boys: P.S. I Still Love You,2020,Michael Fimognari,M,Lana Condor,F
Rebecca,1940,Alfred Hitchcock,M,Laurence Olivier,M
Hiroshima Mon Amour,1959,Alain Resnais,M,Emmanuelle Riva,F
Anna Karenina,2012,Joe Wright,M,Keira Knightley,F
Millennium Actress,2001,Satoshi Kon,M,Miyoko Shoji,F
Charade,1963,Stanley Donen,M,Cary Grant,M
Upgraded,2024,Carlson Young,M,Camila Mendes,F
Knocked Up,2007,Judd Apatow,M,Seth Rogen,M
Annette,2021,Leos Carax,M,Adam Driver,M
